index,MOF,node 1,node 2,edge,topo,UG,UG_five_level
1,sym_7_mc_4__L_10,sym_7_mc_4,,L_10,acs,5.296,Bad
2,sym_7_mc_4__L_11,sym_7_mc_4,,L_11,acs,4.818,Bad
3,sym_7_mc_4__L_12,sym_7_mc_4,,L_12,acs,6.557,Bad
4,sym_7_mc_4__L_13,sym_7_mc_4,,L_13,acs,6.141,Bad
5,sym_7_mc_4__L_14,sym_7_mc_4,,L_14,acs,7.866,Bad
6,sym_7_mc_4__L_15,sym_7_mc_4,,L_15,acs,7.903,Bad
7,sym_7_mc_4__L_16,sym_7_mc_4,,L_16,acs,9.263,Bad
8,sym_7_mc_4__L_17,sym_7_mc_4,,L_17,acs,9.502,Bad
9,sym_7_mc_4__L_18,sym_7_mc_4,,L_18,acs,8.489,Bad
10,sym_7_mc_4__L_19,sym_7_mc_4,,L_19,acs,10.594,Poor
11,sym_7_mc_4__L_1,sym_7_mc_4,,L_1,acs,4.155,Bad
12,sym_7_mc_4__L_20,sym_7_mc_4,,L_20,acs,10.73,Poor
13,sym_7_mc_4__L_21,sym_7_mc_4,,L_21,acs,10.21,Poor
14,sym_7_mc_4__L_22,sym_7_mc_4,,L_22,acs,10.532,Poor
15,sym_7_mc_4__L_23,sym_7_mc_4,,L_23,acs,11.524,Poor
16,sym_7_mc_4__L_24,sym_7_mc_4,,L_24,acs,12.096,Poor
17,sym_7_mc_4__L_25,sym_7_mc_4,,L_25,acs,11.704,Poor
18,sym_7_mc_4__L_26,sym_7_mc_4,,L_26,acs,10.717,Poor
19,sym_7_mc_4__L_27,sym_7_mc_4,,L_27,acs,13.241,Poor
20,sym_7_mc_4__L_28,sym_7_mc_4,,L_28,acs,10.955,Poor
21,sym_7_mc_4__L_29,sym_7_mc_4,,L_29,acs,13.046,Poor
22,sym_7_mc_4__L_2,sym_7_mc_4,,L_2,acs,4.436,Bad
23,sym_7_mc_4__L_30,sym_7_mc_4,,L_30,acs,12.242,Poor
24,sym_7_mc_4__L_31,sym_7_mc_4,,L_31,acs,7.706,Bad
25,sym_7_mc_4__L_32,sym_7_mc_4,,L_32,acs,13.467,Poor
26,sym_7_mc_4__L_33,sym_7_mc_4,,L_33,acs,13.258,Poor
27,sym_7_mc_4__L_34,sym_7_mc_4,,L_34,acs,14.483,Poor
28,sym_7_mc_4__L_35,sym_7_mc_4,,L_35,acs,13.567,Poor
29,sym_7_mc_4__L_36,sym_7_mc_4,,L_36,acs,13.939,Poor
30,sym_7_mc_4__L_37,sym_7_mc_4,,L_37,acs,14.406,Poor
31,sym_7_mc_4__L_38,sym_7_mc_4,,L_38,acs,14.401,Poor
32,sym_7_mc_4__L_39,sym_7_mc_4,,L_39,acs,15.317,Average
33,sym_7_mc_4__L_3,sym_7_mc_4,,L_3,acs,5.503,Bad
34,sym_7_mc_4__L_40,sym_7_mc_4,,L_40,acs,14.746,Average
35,sym_7_mc_4__L_41,sym_7_mc_4,,L_41,acs,15.555,Average
36,sym_7_mc_4__L_42,sym_7_mc_4,,L_42,acs,14.255,Poor
37,sym_7_mc_4__L_43,sym_7_mc_4,,L_43,acs,16.906,Average
38,sym_7_mc_4__L_44,sym_7_mc_4,,L_44,acs,16.441,Average
39,sym_7_mc_4__L_45,sym_7_mc_4,,L_45,acs,15.013,Average
40,sym_7_mc_4__L_46,sym_7_mc_4,,L_46,acs,19.135,Average
41,sym_7_mc_4__L_47,sym_7_mc_4,,L_47,acs,19.459,Average
42,sym_7_mc_4__L_4,sym_7_mc_4,,L_4,acs,5.006,Bad
43,sym_7_mc_4__L_5,sym_7_mc_4,,L_5,acs,4.102,Bad
44,sym_7_mc_4__L_6,sym_7_mc_4,,L_6,acs,4.556,Bad
45,sym_7_mc_4__L_7,sym_7_mc_4,,L_7,acs,4.835,Bad
46,sym_7_mc_4__L_8,sym_7_mc_4,,L_8,acs,4.63,Bad
47,sym_7_mc_4__L_9,sym_7_mc_4,,L_9,acs,4.563,Bad
48,sym_16_mc_14__L_10,sym_16_mc_14,,L_10,bcs,2.981,Bad
49,sym_16_mc_14__L_11,sym_16_mc_14,,L_11,bcs,2.76,Bad
