index,MOF,node 1,node 2,edge,topo,UG,UG_five_level,Unnamed: 8,Unnamed: 9,index.1,Unnamed: 11,node 1.1,node 2.1,edge.1,UG_five_level.1
19.0,sym_7_mc_4__L_27,sym_7_mc_4,,L_27,acs,13.241,Poor,,0,19.0,,sym_7_mc_4,,L_27,Poor
58.0,sym_16_mc_14__L_1,sym_16_mc_14,,L_1,bcs,1.808,Bad,,0,58.0,,sym_16_mc_14,,L_1,Bad
83.0,sym_16_mc_14__L_42,sym_16_mc_14,,L_42,bcs,9.55,Bad,,0,83.0,,sym_16_mc_14,,L_42,Bad
86.0,sym_16_mc_14__L_45,sym_16_mc_14,,L_45,bcs,10.495,Poor,,0,86.0,,sym_16_mc_14,,L_45,Poor
172.0,sym_10_mc_10__L_38,sym_10_mc_10,,L_38,bct,7.999,Bad,,0,172.0,,sym_10_mc_10,,L_38,Bad
188.0,sym_10_mc_10__L_9,sym_10_mc_10,,L_9,bct,1.879,Bad,,0,188.0,,sym_10_mc_10,,L_9,Bad
199.0,sym_8_mc_7__L_1,sym_8_mc_7,,L_1,bcu,2.441,Bad,,0,199.0,,sym_8_mc_7,,L_1,Bad
444.0,sym_3_mc_0_sym_4_on_6_L_31,sym_3_mc_0,sym_4_on_6,L_31,bor,24.185,Good,,0,444.0,,sym_3_mc_0,sym_4_on_6,L_31,Good
516.0,sym_3_mc_0_sym_4_on_8__,sym_3_mc_0,sym_4_on_8,,bor,12.573,Poor,,0,516.0,,sym_3_mc_0,sym_4_on_8,,Poor
526.0,sym_3_mc_0_sym_4_on_8_L_19,sym_3_mc_0,sym_4_on_8,L_19,bor,29.714,Excellent,,0,526.0,,sym_3_mc_0,sym_4_on_8,L_19,Excellent
606.0,sym_3_on_0_sym_4_mc_1_L_4,sym_3_on_0,sym_4_mc_1,L_4,bor,15.443,Average,,0,606.0,,sym_3_on_0,sym_4_mc_1,L_4,Average
646.0,sym_3_on_1_sym_4_mc_1_L_40,sym_3_on_1,sym_4_mc_1,L_40,bor,35.282,Excellent,,0,646.0,,sym_3_on_1,sym_4_mc_1,L_40,Excellent
671.0,sym_3_on_2_sym_4_mc_1_L_1,sym_3_on_2,sym_4_mc_1,L_1,bor,15.169,Average,,0,671.0,,sym_3_on_2,sym_4_mc_1,L_1,Average
704.0,sym_3_on_2_sym_4_mc_1_L_6,sym_3_on_2,sym_4_mc_1,L_6,bor,18.217,Average,,0,704.0,,sym_3_on_2,sym_4_mc_1,L_6,Average
743.0,sym_3_on_4_sym_4_mc_1_L_41,sym_3_on_4,sym_4_mc_1,L_41,bor,40.207,Excellent,,0,743.0,,sym_3_on_4,sym_4_mc_1,L_41,Excellent
808.0,sym_9_mc_5__L_14,sym_9_mc_5,,L_14,crs,7.724,Bad,,0,808.0,,sym_9_mc_5,,L_14,Bad
826.0,sym_9_mc_5__L_30,sym_9_mc_5,,L_30,crs,12.721,Poor,,0,826.0,,sym_9_mc_5,,L_30,Poor
880.0,sym_5_mc_2_sym_8_mc_8_L_30,sym_5_mc_2,sym_8_mc_8,L_30,csq,16.768,Average,,0,880.0,,sym_5_mc_2,sym_8_mc_8,L_30,Average
934.0,sym_5_mc_2_sym_8_mc_9_L_36,sym_5_mc_2,sym_8_mc_9,L_36,csq,14.971,Average,,0,934.0,,sym_5_mc_2,sym_8_mc_9,L_36,Average
1035.0,sym_5_on_10_sym_8_mc_8_L_41,sym_5_on_10,sym_8_mc_8,L_41,csq,23.298,Good,,0,1035.0,,sym_5_on_10,sym_8_mc_8,L_41,Good
1055.0,sym_5_on_10_sym_8_mc_9_L_16,sym_5_on_10,sym_8_mc_9,L_16,csq,11.862,Poor,,0,1055.0,,sym_5_on_10,sym_8_mc_9,L_16,Poor
